192.168.70.25 - - [22/Nov/2017:10:08:53 +0000] "GET / HTTP/1.1" 200 6275 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET / HTTP/1.1" 200 6499 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /rodcss/abc_rodstyles.css?v=1.0 HTTP/1.1" 200 6374 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/transp.png HTTP/1.1" 200 926 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/fu01abc_01txt.png HTTP/1.1" 200 9722 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/fu01abc.jpg HTTP/1.1" 200 95988 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/fu02abc.jpg HTTP/1.1" 200 82512 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/fu03abc.jpg HTTP/1.1" 200 95642 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/doninhacastanhacopo.png HTTP/1.1" 200 77464 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/melroazulcopo.png HTTP/1.1" 200 73043 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /rodscripts/jquery-1.11.3.min.js HTTP/1.1" 200 33279 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /rodscripts/abc_rodscript.js HTTP/1.1" 200 3242 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /rodscripts/abc_rodscript_reposicionamenu.js HTTP/1.1" 200 216 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /rodcss/fonts/allerbd.woff HTTP/1.1" 200 44196 "http://www.arrabidabeercompany.pt/rodcss/abc_rodstyles.css?v=1.0" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /rodcss/fonts/allerrg.woff HTTP/1.1" 200 46268 "http://www.arrabidabeercompany.pt/rodcss/abc_rodstyles.css?v=1.0" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/degabc_tonone.svg HTTP/1.1" 200 541 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/molduraabcsemlupulos.svg HTTP/1.1" 200 3316 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/molduraabcred.svg HTTP/1.1" 200 3184 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/logoabcmenu.svg HTTP/1.1" 200 8204 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/findUsOnFacebook-verde.svg HTTP/1.1" 200 1810 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/Validate_intro.svg HTTP/1.1" 200 8603 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/abc_simbolosrodapeh-vid.svg HTTP/1.1" 200 1084 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/abc_simbolosrodapeh-gra.svg HTTP/1.1" 200 1569 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/abc_simbolosrodapeh-fb-verde.svg HTTP/1.1" 200 1782 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/abc_simbolosrodapeh-reci.svg HTTP/1.1" 200 757 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/abc_simbolosrodapeh-inst-verde.svg HTTP/1.1" 200 1957 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/abc_simbolosrodapeh-yt-verde.svg HTTP/1.1" 200 1251 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/tritaocopo.png HTTP/1.1" 200 68119 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/raposavermelhacopo.png HTTP/1.1" 200 80390 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/petiscacopo.png HTTP/1.1" 200 82636 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/falcaocinzentocopo.png HTTP/1.1" 200 76541 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.70.25 - - [22/Nov/2017:10:13:32 +0000] "GET /images/corujabrancacopo.png HTTP/1.1" 200 75598 "http://www.arrabidabeercompany.pt/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
